food,water_in_liter,electric_in_kwh,internet_in_gb,cloth_wash_in_kg,cost_rupiah
Siomay,2.20,4.00,0.20,1.20,27000.0
Nasi Goreng,2.40,4.00,0.20,1.20,33200.0
Indomie,2.40,4.00,0.20,1.20,20200.0
Bakso ayam,2.40,4.00,0.20,1.20,30200.0
Sate,2.40,4.00,0.20,1.20,34200.0
Rendang,2.40,4.00,0.20,1.20,43200.0
Sayur lodeh,2.40,4.00,0.20,1.20,32200.0
Gado Gado,2.40,4.00,0.20,1.20,31200.0
Rawon,2.40,4.00,0.20,1.20,38200.0
Ketoprak,2.40,4.00,0.20,1.20,30700.0
Siomay,2.40,4.00,0.20,1.20,27200.0
Nasi Goreng,2.60,4.00,0.20,1.20,33400.0
Indomie,2.60,4.00,0.20,1.20,20400.0
Bakso ayam,2.60,4.00,0.20,1.20,30400.0
Sate,2.60,4.00,0.20,1.20,34400.0
Rendang,2.60,4.00,0.20,1.20,43400.0
Sayur lodeh,2.60,4.00,0.20,1.20,32400.0
Gado Gado,2.60,4.00,0.20,1.20,31400.0
Rawon,2.60,4.00,0.20,1.20,38400.0
Ketoprak,2.60,4.00,0.20,1.20,30900.0
Siomay,2.60,4.00,0.20,1.20,27400.0
Nasi Goreng,0.80,5.50,0.20,1.20,32950.0
Indomie,0.80,5.50,0.20,1.20,19950.0
Bakso ayam,0.80,5.50,0.20,1.20,29950.0
Sate,0.80,5.50,0.20,1.20,33950.0
Rendang,0.80,5.50,0.20,1.20,42950.0
Sayur lodeh,0.80,5.50,0.20,1.20,31950.0
Gado Gado,0.80,5.50,0.20,1.20,30950.0
Rawon,0.80,5.50,0.20,1.20,37950.0
Ketoprak,0.80,5.50,0.20,1.20,30450.0
Siomay,0.80,5.50,0.20,1.20,26950.0
Nasi Goreng,1.00,5.50,0.20,1.20,33150.0
Indomie,1.00,5.50,0.20,1.20,20150.0
Bakso ayam,1.00,5.50,0.20,1.20,30150.0
Sate,1.00,5.50,0.20,1.20,34150.0
Rendang,1.00,5.50,0.20,1.20,43150.0
Sayur lodeh,1.00,5.50,0.20,1.20,32150.0
Gado Gado,1.00,5.50,0.20,1.20,31150.0
Rawon,1.00,5.50,0.20,1.20,38150.0
Ketoprak,1.00,5.50,0.20,1.20,30650.0
Siomay,1.00,5.50,0.20,1.20,27150.0
Nasi Goreng,1.20,5.50,0.20,1.20,33350.0
Indomie,1.20,5.50,0.20,1.20,20350.0
Bakso ayam,1.20,5.50,0.20,1.20,30350.0
Sate,1.20,5.50,0.20,1.20,34350.0
Rendang,1.20,5.50,0.20,1.20,43350.0
Sayur lodeh,1.20,5.50,0.20,1.20,32350.0
Gado Gado,1.20,5.50,0.20,1.20,31350.0
Rawon,1.20,5.50,0.20,1.20,38350.0
Ketoprak,1.20,5.50,0.20,1.20,30850.0
Siomay,1.20,5.50,0.20,1.20,27350.0
Nasi Goreng,1.40,5.50,0.20,1.20,33550.0
Indomie,1.40,5.50,0.20,1.20,20550.0
Bakso ayam,1.40,5.50,0.20,1.20,30550.0
Sate,1.40,5.50,0.20,1.20,34550.0
Rendang,1.40,5.50,0.20,1.20,43550.0
Sayur lodeh,1.40,5.50,0.20,1.20,32550.0
Gado Gado,1.40,5.50,0.20,1.20,31550.0
Rawon,1.40,5.50,0.20,1.20,38550.0
Ketoprak,1.40,5.50,0.20,1.20,31050.0
Siomay,1.40,5.50,0.20,1.20,27550.0
Nasi Goreng,1.60,5.50,0.20,1.20,33750.0
Indomie,1.60,5.50,0.20,1.20,20750.0
Bakso ayam,1.60,5.50,0.20,1.20,30750.0
Sate,1.60,5.50,0.20,1.20,34750.0
Rendang,1.60,5.50,0.20,1.20,43750.0
Sayur lodeh,1.60,5.50,0.20,1.20,32750.0
Gado Gado,1.60,5.50,0.20,1.20,31750.0
Rawon,1.60,5.50,0.20,1.20,38750.0
Ketoprak,1.60,5.50,0.20,1.20,31250.0
Siomay,1.60,5.50,0.20,1.20,27750.0
Nasi Goreng,1.80,5.50,0.20,1.20,33950.0
Indomie,1.80,5.50,0.20,1.20,20950.0
Bakso ayam,1.80,5.50,0.20,1.20,30950.0
Sate,1.80,5.50,0.20,1.20,34950.0
Rendang,1.80,5.50,0.20,1.20,43950.0
Sayur lodeh,1.80,5.50,0.20,1.20,32950.0
Gado Gado,1.80,5.50,0.20,1.20,31950.0
Rawon,1.80,5.50,0.20,1.20,38950.0
Ketoprak,1.80,5.50,0.20,1.20,31450.0
Siomay,1.80,5.50,0.20,1.20,27950.0
Nasi Goreng,2.00,5.50,0.20,1.20,34150.0
Indomie,2.00,5.50,0.20,1.20,21150.0
Bakso ayam,2.00,5.50,0.20,1.20,31150.0
Sate,2.00,5.50,0.20,1.20,35150.0
Rendang,2.00,5.50,0.20,1.20,44150.0
Sayur lodeh,2.00,5.50,0.20,1.20,33150.0
Gado Gado,2.00,5.50,0.20,1.20,32150.0
Rawon,2.00,5.50,0.20,1.20,39150.0
Ketoprak,2.00,5.50,0.20,1.20,31650.0
Siomay,2.00,5.50,0.20,1.20,28150.0
Nasi Goreng,2.20,5.50,0.20,1.20,34350.0
Indomie,2.20,5.50,0.20,1.20,21350.0
Bakso ayam,2.20,5.50,0.20,1.20,31350.0
Sate,2.20,5.50,0.20,1.20,35350.0
Rendang,2.20,5.50,0.20,1.20,44350.0
Sayur lodeh,2.20,5.50,0.20,1.20,33350.0
Gado Gado,2.20,5.50,0.20,1.20,32350.0
Rawon,2.20,5.50,0.20,1.20,39350.0
Ketoprak,2.20,5.50,0.20,1.20,31850.0
Siomay,2.20,5.50,0.20,1.20,28350.0
Nasi Goreng,2.40,5.50,0.20,1.20,34550.0
Indomie,2.40,5.50,0.20,1.20,21550.0
Bakso ayam,2.40,5.50,0.20,1.20,31550.0
Sate,2.40,5.50,0.20,1.20,35550.0
Rendang,2.40,5.50,0.20,1.20,44550.0
Sayur lodeh,2.40,5.50,0.20,1.20,33550.0
Gado Gado,2.40,5.50,0.20,1.20,32550.0
Rawon,2.40,5.50,0.20,1.20,39550.0
Ketoprak,2.40,5.50,0.20,1.20,32050.0
Siomay,2.40,5.50,0.20,1.20,28550.0
Nasi Goreng,2.60,5.50,0.20,1.20,34750.0
Indomie,2.60,5.50,0.20,1.20,21750.0
Bakso ayam,2.60,5.50,0.20,1.20,31750.0
Sate,2.60,5.50,0.20,1.20,35750.0
Rendang,2.60,5.50,0.20,1.20,44750.0
Sayur lodeh,2.60,5.50,0.20,1.20,33750.0
Gado Gado,2.60,5.50,0.20,1.20,32750.0
Rawon,2.60,5.50,0.20,1.20,39750.0
Ketoprak,2.60,5.50,0.20,1.20,32250.0
Siomay,2.60,5.50,0.20,1.20,28750.0
Nasi Goreng,0.80,7.00,0.20,1.20,34300.0
Indomie,0.80,7.00,0.20,1.20,21300.0
Bakso ayam,0.80,7.00,0.20,1.20,31300.0
Sate,0.80,7.00,0.20,1.20,35300.0
Rendang,0.80,7.00,0.20,1.20,44300.0
Sayur lodeh,0.80,7.00,0.20,1.20,33300.0
Gado Gado,0.80,7.00,0.20,1.20,32300.0
Rawon,0.80,7.00,0.20,1.20,39300.0
Ketoprak,0.80,7.00,0.20,1.20,31800.0
Siomay,0.80,7.00,0.20,1.20,28300.0
Nasi Goreng,1.00,7.00,0.20,1.20,34500.0
Indomie,1.00,7.00,0.20,1.20,21500.0
Bakso ayam,1.00,7.00,0.20,1.20,31500.0
Sate,1.00,7.00,0.20,1.20,35500.0
Rendang,1.00,7.00,0.20,1.20,44500.0
Sayur lodeh,1.00,7.00,0.20,1.20,33500.0
Gado Gado,1.00,7.00,0.20,1.20,32500.0
Rawon,1.00,7.00,0.20,1.20,39500.0
Ketoprak,1.00,7.00,0.20,1.20,32000.0
Siomay,1.00,7.00,0.20,1.20,28500.0
Nasi Goreng,1.20,7.00,0.20,1.20,34700.0
Indomie,1.20,7.00,0.20,1.20,21700.0
Bakso ayam,1.20,7.00,0.20,1.20,31700.0
Sate,1.20,7.00,0.20,1.20,35700.0
Rendang,1.20,7.00,0.20,1.20,44700.0
Sayur lodeh,1.20,7.00,0.20,1.20,33700.0
Gado Gado,1.20,7.00,0.20,1.20,32700.0
Rawon,1.20,7.00,0.20,1.20,39700.0
Ketoprak,1.20,7.00,0.20,1.20,32200.0
Siomay,1.20,7.00,0.20,1.20,28700.0
Nasi Goreng,1.40,7.00,0.20,1.20,34900.0
Indomie,1.40,7.00,0.20,1.20,21900.0
Bakso ayam,1.40,7.00,0.20,1.20,31900.0
Sate,1.40,7.00,0.20,1.20,35900.0
Rendang,1.40,7.00,0.20,1.20,44900.0
Sayur lodeh,1.40,7.00,0.20,1.20,33900.0
Gado Gado,1.40,7.00,0.20,1.20,32900.0
Rawon,1.40,7.00,0.20,1.20,39900.0
Ketoprak,1.40,7.00,0.20,1.20,32400.0
Siomay,1.40,7.00,0.20,1.20,28900.0
Nasi Goreng,1.60,7.00,0.20,1.20,35100.0
Indomie,1.60,7.00,0.20,1.20,22100.0
Bakso ayam,1.60,7.00,0.20,1.20,32100.0
Sate,1.60,7.00,0.20,1.20,36100.0
Rendang,1.60,7.00,0.20,1.20,45100.0
Sayur lodeh,1.60,7.00,0.20,1.20,34100.0
Gado Gado,1.60,7.00,0.20,1.20,33100.0
Rawon,1.60,7.00,0.20,1.20,40100.0
Ketoprak,1.60,7.00,0.20,1.20,32600.0
Siomay,1.60,7.00,0.20,1.20,29100.0
Nasi Goreng,1.80,7.00,0.20,1.20,35300.0
Indomie,1.80,7.00,0.20,1.20,22300.0
Bakso ayam,1.80,7.00,0.20,1.20,32300.0
Sate,1.80,7.00,0.20,1.20,36300.0
Rendang,1.80,7.00,0.20,1.20,45300.0
Sayur lodeh,1.80,7.00,0.20,1.20,34300.0
Gado Gado,1.80,7.00,0.20,1.20,33300.0
Rawon,1.80,7.00,0.20,1.20,40300.0
Ketoprak,1.80,7.00,0.20,1.20,32800.0
Siomay,1.80,7.00,0.20,1.20,29300.0
Nasi Goreng,2.00,7.00,0.20,1.20,35500.0
Indomie,2.00,7.00,0.20,1.20,22500.0
Bakso ayam,2.00,7.00,0.20,1.20,32500.0
Sate,2.00,7.00,0.20,1.20,36500.0
Rendang,2.00,7.00,0.20,1.20,45500.0
Sayur lodeh,2.00,7.00,0.20,1.20,34500.0
Gado Gado,2.00,7.00,0.20,1.20,33500.0
Rawon,2.00,7.00,0.20,1.20,40500.0
Ketoprak,2.00,7.00,0.20,1.20,33000.0
Siomay,2.00,7.00,0.20,1.20,29500.0
Nasi Goreng,2.20,7.00,0.20,1.20,35700.0
Indomie,2.20,7.00,0.20,1.20,22700.0
Bakso ayam,2.20,7.00,0.20,1.20,32700.0
Sate,2.20,7.00,0.20,1.20,36700.0
Rendang,2.20,7.00,0.20,1.20,45700.0
Sayur lodeh,2.20,7.00,0.20,1.20,34700.0
Gado Gado,2.20,7.00,0.20,1.20,33700.0
Rawon,2.20,7.00,0.20,1.20,40700.0
Ketoprak,2.20,7.00,0.20,1.20,33200.0
Siomay,2.20,7.00,0.20,1.20,29700.0
Nasi Goreng,2.40,7.00,0.20,1.20,35900.0
Indomie,2.40,7.00,0.20,1.20,22900.0
Bakso ayam,2.40,7.00,0.20,1.20,32900.0
Sate,2.40,7.00,0.20,1.20,36900.0
Rendang,2.40,7.00,0.20,1.20,45900.0
Sayur lodeh,2.40,7.00,0.20,1.20,34900.0
Gado Gado,2.40,7.00,0.20,1.20,33900.0
Rawon,2.40,7.00,0.20,1.20,40900.0
Ketoprak,2.40,7.00,0.20,1.20,33400.0
Siomay,2.40,7.00,0.20,1.20,29900.0
Nasi Goreng,2.60,7.00,0.20,1.20,36100.0
Indomie,2.60,7.00,0.20,1.20,23100.0
Bakso ayam,2.60,7.00,0.20,1.20,33100.0
Sate,2.60,7.00,0.20,1.20,37100.0
Rendang,2.60,7.00,0.20,1.20,46100.0
Sayur lodeh,2.60,7.00,0.20,1.20,35100.0
Gado Gado,2.60,7.00,0.20,1.20,34100.0
Rawon,2.60,7.00,0.20,1.20,41100.0
Ketoprak,2.60,7.00,0.20,1.20,33600.0
Siomay,2.60,7.00,0.20,1.20,30100.0
Nasi Goreng,0.80,8.50,0.20,1.20,35650.0
Indomie,0.80,8.50,0.20,1.20,22650.0
Bakso ayam,0.80,8.50,0.20,1.20,32650.0
Sate,0.80,8.50,0.20,1.20,36650.0
Rendang,0.80,8.50,0.20,1.20,45650.0
Sayur lodeh,0.80,8.50,0.20,1.20,34650.0
Gado Gado,0.80,8.50,0.20,1.20,33650.0
Rawon,0.80,8.50,0.20,1.20,40650.0
Ketoprak,0.80,8.50,0.20,1.20,33150.0
Siomay,0.80,8.50,0.20,1.20,29650.0
Nasi Goreng,1.00,8.50,0.20,1.20,35850.0
Indomie,1.00,8.50,0.20,1.20,22850.0
Bakso ayam,1.00,8.50,0.20,1.20,32850.0
Sate,1.00,8.50,0.20,1.20,36850.0
Rendang,1.00,8.50,0.20,1.20,45850.0
Sayur lodeh,1.00,8.50,0.20,1.20,34850.0
Gado Gado,1.00,8.50,0.20,1.20,33850.0
Rawon,1.00,8.50,0.20,1.20,40850.0
Ketoprak,1.00,8.50,0.20,1.20,33350.0
Siomay,1.00,8.50,0.20,1.20,29850.0
Nasi Goreng,1.20,8.50,0.20,1.20,36050.0
Indomie,1.20,8.50,0.20,1.20,23050.0
Bakso ayam,1.20,8.50,0.20,1.20,33050.0
Sate,1.20,8.50,0.20,1.20,37050.0
Rendang,1.20,8.50,0.20,1.20,46050.0
Sayur lodeh,1.20,8.50,0.20,1.20,35050.0
Gado Gado,1.20,8.50,0.20,1.20,34050.0
Rawon,1.20,8.50,0.20,1.20,41050.0
Ketoprak,1.20,8.50,0.20,1.20,33550.0
Siomay,1.20,8.50,0.20,1.20,30050.0
Nasi Goreng,1.40,8.50,0.20,1.20,36250.0
Indomie,1.40,8.50,0.20,1.20,23250.0
Bakso ayam,1.40,8.50,0.20,1.20,33250.0
Sate,1.40,8.50,0.20,1.20,37250.0
Rendang,1.40,8.50,0.20,1.20,46250.0
Sayur lodeh,1.40,8.50,0.20,1.20,35250.0
Gado Gado,1.40,8.50,0.20,1.20,34250.0
Rawon,1.40,8.50,0.20,1.20,41250.0
Ketoprak,1.40,8.50,0.20,1.20,33750.0
Siomay,1.40,8.50,0.20,1.20,30250.0
Nasi Goreng,1.60,8.50,0.20,1.20,36450.0
Indomie,1.60,8.50,0.20,1.20,23450.0
Bakso ayam,1.60,8.50,0.20,1.20,33450.0
Sate,1.60,8.50,0.20,1.20,37450.0
Rendang,1.60,8.50,0.20,1.20,46450.0
Sayur lodeh,1.60,8.50,0.20,1.20,35450.0
Gado Gado,1.60,8.50,0.20,1.20,34450.0
Rawon,1.60,8.50,0.20,1.20,41450.0
Ketoprak,1.60,8.50,0.20,1.20,33950.0
Siomay,1.60,8.50,0.20,1.20,30450.0
Nasi Goreng,1.80,8.50,0.20,1.20,36650.0
Indomie,1.80,8.50,0.20,1.20,23650.0
Bakso ayam,1.80,8.50,0.20,1.20,33650.0
Sate,1.80,8.50,0.20,1.20,37650.0
Rendang,1.80,8.50,0.20,1.20,46650.0
Sayur lodeh,1.80,8.50,0.20,1.20,35650.0
Gado Gado,1.80,8.50,0.20,1.20,34650.0
Rawon,1.80,8.50,0.20,1.20,41650.0
Ketoprak,1.80,8.50,0.20,1.20,34150.0
Siomay,1.80,8.50,0.20,1.20,30650.0
Nasi Goreng,2.00,8.50,0.20,1.20,36850.0
Indomie,2.00,8.50,0.20,1.20,23850.0
Bakso ayam,2.00,8.50,0.20,1.20,33850.0
Sate,2.00,8.50,0.20,1.20,37850.0
Rendang,2.00,8.50,0.20,1.20,46850.0
Sayur lodeh,2.00,8.50,0.20,1.20,35850.0
Gado Gado,2.00,8.50,0.20,1.20,34850.0
Rawon,2.00,8.50,0.20,1.20,41850.0
Ketoprak,2.00,8.50,0.20,1.20,34350.0
Siomay,2.00,8.50,0.20,1.20,30850.0
Nasi Goreng,2.20,8.50,0.20,1.20,37050.0
Indomie,2.20,8.50,0.20,1.20,24050.0
Bakso ayam,2.20,8.50,0.20,1.20,34050.0
Sate,2.20,8.50,0.20,1.20,38050.0
Rendang,2.20,8.50,0.20,1.20,47050.0
Sayur lodeh,2.20,8.50,0.20,1.20,36050.0
Gado Gado,2.20,8.50,0.20,1.20,35050.0
Rawon,2.20,8.50,0.20,1.20,42050.0
Ketoprak,2.20,8.50,0.20,1.20,34550.0
Siomay,2.20,8.50,0.20,1.20,31050.0
Nasi Goreng,2.40,8.50,0.20,1.20,37250.0
Indomie,2.40,8.50,0.20,1.20,24250.0
Bakso ayam,2.40,8.50,0.20,1.20,34250.0
Sate,2.40,8.50,0.20,1.20,38250.0
Rendang,2.40,8.50,0.20,1.20,47250.0
Sayur lodeh,2.40,8.50,0.20,1.20,36250.0
Gado Gado,2.40,8.50,0.20,1.20,35250.0
Rawon,2.40,8.50,0.20,1.20,42250.0
Ketoprak,2.40,8.50,0.20,1.20,34750.0
Siomay,2.40,8.50,0.20,1.20,31250.0
Nasi Goreng,2.60,8.50,0.20,1.20,37450.0
Indomie,2.60,8.50,0.20,1.20,24450.0
Bakso ayam,2.60,8.50,0.20,1.20,34450.0
Sate,2.60,8.50,0.20,1.20,38450.0
Rendang,2.60,8.50,0.20,1.20,47450.0
Sayur lodeh,2.60,8.50,0.20,1.20,36450.0
Gado Gado,2.60,8.50,0.20,1.20,35450.0
Rawon,2.60,8.50,0.20,1.20,42450.0
Ketoprak,2.60,8.50,0.20,1.20,34950.0
Siomay,2.60,8.50,0.20,1.20,31450.0
Nasi Goreng,0.80,10.00,0.20,1.20,37000.0
Indomie,0.80,10.00,0.20,1.20,24000.0
Bakso ayam,0.80,10.00,0.20,1.20,34000.0
Sate,0.80,10.00,0.20,1.20,38000.0
Rendang,0.80,10.00,0.20,1.20,47000.0
Sayur lodeh,0.80,10.00,0.20,1.20,36000.0
Gado Gado,0.80,10.00,0.20,1.20,35000.0
Rawon,0.80,10.00,0.20,1.20,42000.0
Ketoprak,0.80,10.00,0.20,1.20,34500.0
Siomay,0.80,10.00,0.20,1.20,31000.0
Nasi Goreng,1.00,10.00,0.20,1.20,37200.0
Indomie,1.00,10.00,0.20,1.20,24200.0
Bakso ayam,1.00,10.00,0.20,1.20,34200.0
Sate,1.00,10.00,0.20,1.20,38200.0
Rendang,1.00,10.00,0.20,1.20,47200.0
Sayur lodeh,1.00,10.00,0.20,1.20,36200.0
Gado Gado,1.00,10.00,0.20,1.20,35200.0
Rawon,1.00,10.00,0.20,1.20,42200.0
Ketoprak,1.00,10.00,0.20,1.20,34700.0
Siomay,1.00,10.00,0.20,1.20,31200.0
Nasi Goreng,1.20,10.00,0.20,1.20,37400.0
Indomie,1.20,10.00,0.20,1.20,24400.0
Bakso ayam,1.20,10.00,0.20,1.20,34400.0
Sate,1.20,10.00,0.20,1.20,38400.0
Rendang,1.20,10.00,0.20,1.20,47400.0
Sayur lodeh,1.20,10.00,0.20,1.20,36400.0
Gado Gado,1.20,10.00,0.20,1.20,35400.0
Rawon,1.20,10.00,0.20,1.20,42400.0
Ketoprak,1.20,10.00,0.20,1.20,34900.0
Siomay,1.20,10.00,0.20,1.20,31400.0
Nasi Goreng,1.40,10.00,0.20,1.20,37600.0
Indomie,1.40,10.00,0.20,1.20,24600.0
Bakso ayam,1.40,10.00,0.20,1.20,34600.0
Sate,1.40,10.00,0.20,1.20,38600.0
Rendang,1.40,10.00,0.20,1.20,47600.0
Sayur lodeh,1.40,10.00,0.20,1.20,36600.0
Gado Gado,1.40,10.00,0.20,1.20,35600.0
Rawon,1.40,10.00,0.20,1.20,42600.0
Ketoprak,1.40,10.00,0.20,1.20,35100.0
Siomay,1.40,10.00,0.20,1.20,31600.0
Nasi Goreng,1.60,10.00,0.20,1.20,37800.0
Indomie,1.60,10.00,0.20,1.20,24800.0
Bakso ayam,1.60,10.00,0.20,1.20,34800.0
Sate,1.60,10.00,0.20,1.20,38800.0
Rendang,1.60,10.00,0.20,1.20,47800.0
Sayur lodeh,1.60,10.00,0.20,1.20,36800.0
Gado Gado,1.60,10.00,0.20,1.20,35800.0
Rawon,1.60,10.00,0.20,1.20,42800.0
Ketoprak,1.60,10.00,0.20,1.20,35300.0
Siomay,1.60,10.00,0.20,1.20,31800.0
Nasi Goreng,1.80,10.00,0.20,1.20,38000.0
Indomie,1.80,10.00,0.20,1.20,25000.0
Bakso ayam,1.80,10.00,0.20,1.20,35000.0
Sate,1.80,10.00,0.20,1.20,39000.0
Rendang,1.80,10.00,0.20,1.20,48000.0
Sayur lodeh,1.80,10.00,0.20,1.20,37000.0
Gado Gado,1.80,10.00,0.20,1.20,36000.0
Rawon,1.80,10.00,0.20,1.20,43000.0
Ketoprak,1.80,10.00,0.20,1.20,35500.0
Siomay,1.80,10.00,0.20,1.20,32000.0
Nasi Goreng,2.00,10.00,0.20,1.20,38200.0
Indomie,2.00,10.00,0.20,1.20,25200.0
Bakso ayam,2.00,10.00,0.20,1.20,35200.0
Sate,2.00,10.00,0.20,1.20,39200.0
Rendang,2.00,10.00,0.20,1.20,48200.0
Sayur lodeh,2.00,10.00,0.20,1.20,37200.0
Gado Gado,2.00,10.00,0.20,1.20,36200.0
Rawon,2.00,10.00,0.20,1.20,43200.0
Ketoprak,2.00,10.00,0.20,1.20,35700.0
Siomay,2.00,10.00,0.20,1.20,32200.0
Nasi Goreng,2.20,10.00,0.20,1.20,38400.0
Indomie,2.20,10.00,0.20,1.20,25400.0
Bakso ayam,2.20,10.00,0.20,1.20,35400.0
Sate,2.20,10.00,0.20,1.20,39400.0
Rendang,2.20,10.00,0.20,1.20,48400.0
Sayur lodeh,2.20,10.00,0.20,1.20,37400.0
Gado Gado,2.20,10.00,0.20,1.20,36400.0
Rawon,2.20,10.00,0.20,1.20,43400.0
Ketoprak,2.20,10.00,0.20,1.20,35900.0
Siomay,2.20,10.00,0.20,1.20,32400.0
Nasi Goreng,2.40,10.00,0.20,1.20,38600.0
Indomie,2.40,10.00,0.20,1.20,25600.0
Bakso ayam,2.40,10.00,0.20,1.20,35600.0
Sate,2.40,10.00,0.20,1.20,39600.0
Rendang,2.40,10.00,0.20,1.20,48600.0
Sayur lodeh,2.40,10.00,0.20,1.20,37600.0
Gado Gado,2.40,10.00,0.20,1.20,36600.0
Rawon,2.40,10.00,0.20,1.20,43600.0
Ketoprak,2.40,10.00,0.20,1.20,36100.0
Siomay,2.40,10.00,0.20,1.20,32600.0
Nasi Goreng,2.60,10.00,0.20,1.20,38800.0
Indomie,2.60,10.00,0.20,1.20,25800.0
Bakso ayam,2.60,10.00,0.20,1.20,35800.0
Sate,2.60,10.00,0.20,1.20,39800.0
Rendang,2.60,10.00,0.20,1.20,48800.0
Sayur lodeh,2.60,10.00,0.20,1.20,37800.0
Gado Gado,2.60,10.00,0.20,1.20,36800.0
Rawon,2.60,10.00,0.20,1.20,43800.0
Ketoprak,2.60,10.00,0.20,1.20,36300.0
Siomay,2.60,10.00,0.20,1.20,32800.0
Nasi Goreng,0.80,11.50,0.20,1.20,38350.0
Indomie,0.80,11.50,0.20,1.20,25350.0
Bakso ayam,0.80,11.50,0.20,1.20,35350.0
Sate,0.80,11.50,0.20,1.20,39350.0
Rendang,0.80,11.50,0.20,1.20,48350.0
Sayur lodeh,0.80,11.50,0.20,1.20,37350.0
Gado Gado,0.80,11.50,0.20,1.20,36350.0
Rawon,0.80,11.50,0.20,1.20,43350.0
Ketoprak,0.80,11.50,0.20,1.20,35850.0
Siomay,0.80,11.50,0.20,1.20,32350.0
Nasi Goreng,1.00,11.50,0.20,1.20,38550.0
Indomie,1.00,11.50,0.20,1.20,25550.0
Bakso ayam,1.00,11.50,0.20,1.20,35550.0
Sate,1.00,11.50,0.20,1.20,39550.0
Rendang,1.00,11.50,0.20,1.20,48550.0
Sayur lodeh,1.00,11.50,0.20,1.20,37550.0
Gado Gado,1.00,11.50,0.20,1.20,36550.0
Rawon,1.00,11.50,0.20,1.20,43550.0
Ketoprak,1.00,11.50,0.20,1.20,36050.0
Siomay,1.00,11.50,0.20,1.20,32550.0
Nasi Goreng,1.20,11.50,0.20,1.20,38750.0
Indomie,1.20,11.50,0.20,1.20,25750.0
Bakso ayam,1.20,11.50,0.20,1.20,35750.0
Sate,1.20,11.50,0.20,1.20,39750.0
Rendang,1.20,11.50,0.20,1.20,48750.0
Sayur lodeh,1.20,11.50,0.20,1.20,37750.0
Gado Gado,1.20,11.50,0.20,1.20,36750.0
Rawon,1.20,11.50,0.20,1.20,43750.0
Ketoprak,1.20,11.50,0.20,1.20,36250.0
Siomay,1.20,11.50,0.20,1.20,32750.0
Nasi Goreng,1.40,11.50,0.20,1.20,38950.0
Indomie,1.40,11.50,0.20,1.20,25950.0
Bakso ayam,1.40,11.50,0.20,1.20,35950.0
Sate,1.40,11.50,0.20,1.20,39950.0
Rendang,1.40,11.50,0.20,1.20,48950.0
Sayur lodeh,1.40,11.50,0.20,1.20,37950.0
Gado Gado,1.40,11.50,0.20,1.20,36950.0
Rawon,1.40,11.50,0.20,1.20,43950.0
Ketoprak,1.40,11.50,0.20,1.20,36450.0
Siomay,1.40,11.50,0.20,1.20,32950.0
Nasi Goreng,1.60,11.50,0.20,1.20,39150.0
Indomie,1.60,11.50,0.20,1.20,26150.0
Bakso ayam,1.60,11.50,0.20,1.20,36150.0
Sate,1.60,11.50,0.20,1.20,40150.0
Rendang,1.60,11.50,0.20,1.20,49150.0
Sayur lodeh,1.60,11.50,0.20,1.20,38150.0
Gado Gado,1.60,11.50,0.20,1.20,37150.0
Rawon,1.60,11.50,0.20,1.20,44150.0
Ketoprak,1.60,11.50,0.20,1.20,36650.0
Siomay,1.60,11.50,0.20,1.20,33150.0
Nasi Goreng,1.80,11.50,0.20,1.20,39350.0
Indomie,1.80,11.50,0.20,1.20,26350.0
Bakso ayam,1.80,11.50,0.20,1.20,36350.0
Sate,1.80,11.50,0.20,1.20,40350.0
Rendang,1.80,11.50,0.20,1.20,49350.0
Sayur lodeh,1.80,11.50,0.20,1.20,38350.0
Gado Gado,1.80,11.50,0.20,1.20,37350.0
Rawon,1.80,11.50,0.20,1.20,44350.0
Ketoprak,1.80,11.50,0.20,1.20,36850.0
Siomay,1.80,11.50,0.20,1.20,33350.0
Nasi Goreng,2.00,11.50,0.20,1.20,39550.0
Indomie,2.00,11.50,0.20,1.20,26550.0
Bakso ayam,2.00,11.50,0.20,1.20,36550.0
Sate,2.00,11.50,0.20,1.20,40550.0
Rendang,2.00,11.50,0.20,1.20,49550.0
Sayur lodeh,2.00,11.50,0.20,1.20,38550.0
Gado Gado,2.00,11.50,0.20,1.20,37550.0
Rawon,2.00,11.50,0.20,1.20,44550.0
Ketoprak,2.00,11.50,0.20,1.20,37050.0
Siomay,2.00,11.50,0.20,1.20,33550.0
Nasi Goreng,2.20,11.50,0.20,1.20,39750.0
Indomie,2.20,11.50,0.20,1.20,26750.0
Bakso ayam,2.20,11.50,0.20,1.20,36750.0
Sate,2.20,11.50,0.20,1.20,40750.0
Rendang,2.20,11.50,0.20,1.20,49750.0
Sayur lodeh,2.20,11.50,0.20,1.20,38750.0
Gado Gado,2.20,11.50,0.20,1.20,37750.0
Rawon,2.20,11.50,0.20,1.20,44750.0
Ketoprak,2.20,11.50,0.20,1.20,37250.0
Siomay,2.20,11.50,0.20,1.20,33750.0
Nasi Goreng,2.40,11.50,0.20,1.20,39950.0
Indomie,2.40,11.50,0.20,1.20,26950.0
Bakso ayam,2.40,11.50,0.20,1.20,36950.0
Sate,2.40,11.50,0.20,1.20,40950.0
Rendang,2.40,11.50,0.20,1.20,49950.0
Sayur lodeh,2.40,11.50,0.20,1.20,38950.0
Gado Gado,2.40,11.50,0.20,1.20,37950.0
Rawon,2.40,11.50,0.20,1.20,44950.0
